Name,Pos,Fg%,Fg3%,Fg2%,Ft%,Orb,Drb,Ast,Blk,Stl,Pts
,PF,.435,.313,.552,.839,12,64,31,3,6,181
,SF,.545,.583,.500,.875,2,12,12,2,2,52
,SF,.378,.176,.550,.889,6,12,12,1,6,47
,SG,.417,.309,.509,.745,74,80,64,24,48,277
,C,.417,.368,.500,.805,36,198,110,27,28,276
,C,.515,.250,.578,.800,88,84,65,33,20,274
,PF,.450,.304,.485,.778,36,91,28,22,23,272
,PF,.467,.375,.486,.727,12,19,8,5,6,53
,PF,.446,.289,.484,.791,24,72,20,17,17,219
,PG,.493,.417,.534,.745,22,45,98,10,36,271
,SG,.474,.218,.563,.667,18,76,166,9,29,268
,SF,.472,.299,.559,.667,61,136,64,15,42,265
,SF,.389,.336,.435,.759,27,72,48,14,47,260
,PG,.386,.326,.457,.783,5,50,93,4,26,256
,C,.490,.391,.537,.680,77,161,41,60,22,253
,SF,.388,.373,.615,.808,28,56,29,4,15,253
,SG,.423,.408,.519,.895,9,55,30,4,9,252
,SG,.393,.314,.562,.885,15,74,53,2,33,252
,SG,.488,.308,.602,.861,9,49,126,8,29,251
,SF,.372,.333,.435,.865,25,119,60,3,24,247
,SF,.441,.369,.618,.864,14,58,35,2,8,154
,SF,.296,.281,.314,.867,11,61,25,1,16,93
,C,.569,.000,.592,.707,60,174,55,17,14,244
,C,.649,,.649,.719,76,108,22,20,16,242
,SF,.390,.296,.495,.902,16,86,55,6,13,241
,SG,.563,.364,.648,.609,46,67,48,18,39,240
,SF,.423,.317,.568,.840,72,185,110,51,51,235
,SG,.454,.404,.569,.750,9,62,67,9,36,234
,SF,.381,.346,.434,.788,26,80,44,8,28,230
,SF,.369,.297,.488,.710,5,56,47,7,17,227
,PG,.471,.275,.555,.813,6,44,73,5,7,226
,SG,.392,.352,.438,.903,18,50,44,6,22,226
,SG,.372,.363,.385,.895,15,37,30,3,17,154
,SG,.441,.321,.548,.917,3,13,14,3,5,72
,PF,.440,.375,.549,.800,30,66,19,7,20,225
,SF,.536,.286,.582,.537,41,90,51,12,22,224
,SF,.400,.200,.600,.500,1,2,1,1,2,10
,SF,.544,.304,.581,.538,40,88,50,11,20,214
,PF,.616,.423,.717,.789,32,105,17,25,10,223
,SF,.462,.330,.598,.909,18,57,23,7,13,223
,C,.538,.208,.588,.679,72,136,29,18,8,222
,SG,.357,.254,.505,.806,5,53,48,7,29,220
,SG,.200,.133,.400,1.000,0,4,3,0,4,12
,SG,.373,.270,.512,.794,5,49,45,7,25,208
,C,.577,.182,.646,.872,40,101,23,16,10,217
,SG,.405,.281,.466,.816,14,61,60,6,19,216
,SG,.400,.264,.467,.818,7,44,50,5,16,178
,SG,.423,.333,.471,.667,7,11,6,1,2,27
,SG,.444,.500,.429,1.000,0,6,4,0,1,11
,PF,.466,.360,.504,.636,46,107,27,19,31,215
,PF,.425,.324,.495,.826,47,84,45,4,11,214
,SF,.488,.400,.560,.679,22,77,31,7,13,211
,SF,.381,.314,.426,.606,19,90,104,18,32,211
,PG,.394,.368,.408,.822,19,67,119,11,54,210
,PG,.393,.368,.405,.828,13,46,82,8,35,134
,PG,.394,.367,.417,.813,6,21,37,3,19,76
,C,.679,.333,.689,.708,97,117,84,20,26,208
,SF,.485,.283,.562,.653,35,50,35,5,27,207
,SF,.444,.273,.541,.602,61,99,44,8,19,201
,PF,.437,.346,.510,.550,43,103,29,27,11,199
,C,.558,.333,.563,.723,71,111,25,19,11,199
,C,.559,,.559,.571,33,45,15,9,3,78
,PF,.557,.333,.565,.846,38,66,10,10,8,121
,SF,.434,.304,.526,.762,31,79,38,22,25,197
,SF,.427,.313,.512,.722,30,71,34,20,22,174
,SF,.500,.200,.636,1.000,1,8,4,2,3,23
,PG,.483,.472,.500,.722,18,54,110,7,35,195
,C,.432,.348,.574,.702,30,113,68,30,17,191
,PG,.461,.366,.492,.889,7,38,78,2,8,191
,C,.471,.297,.593,.735,45,102,49,12,7,190
,PF,.469,.244,.546,.806,37,57,34,11,13,189
,PF,.463,.261,.500,.677,61,65,32,38,15,186
,C,.598,.143,.624,.578,42,84,17,20,14,185
,SG,.439,.230,.627,.581,29,84,81,18,27,180
,PF,.380,.203,.500,.786,22,80,19,7,5,177
,C,.565,,.565,.481,62,147,53,37,11,174
,C,.563,,.563,.478,57,134,51,34,10,156
,C,.583,,.583,.500,5,13,2,3,1,18
,SG,.482,.375,.525,.746,14,32,16,1,8,173
,PG,.400,.405,.375,1.000,9,37,137,5,33,173
,PG,.417,.425,.375,1.000,8,35,131,5,27,173
,PG,.000,.000,,,1,2,6,0,6,0
,C,.575,,.575,.409,142,121,18,35,37,173
,C,.551,,.551,.840,64,70,27,28,12,171
,C,,,,,0,1,0,0,0,0
,C,.551,,.551,.840,64,69,27,28,12,171
,SF,.344,.169,.449,.730,18,61,37,6,19,169
,SF,.381,.320,.483,.679,17,106,29,15,18,168
,SF,.404,.269,.468,.697,19,33,13,8,11,167
,SG,.397,.364,.453,.690,21,51,36,2,6,164
,PG,.405,.386,.422,.684,7,50,69,9,19,164
,PG,.364,.182,.455,.500,2,10,8,1,1,27
,PG,.417,.424,.410,.706,5,40,61,8,18,137
,SG,.399,.208,.490,.833,33,45,44,15,36,163
,SG,.390,.216,.469,.824,25,33,35,11,25,128
,SG,.433,.182,.579,.875,8,12,9,4,11,35
,SF,.416,.389,.517,.667,11,40,35,1,11,162
,C,.608,.000,.613,.288,73,101,51,14,12,161
,C,.359,.292,.467,.680,39,86,36,13,9,157
,C,.367,.275,.487,.750,22,53,22,7,5,95
,C,.341,.382,.200,.500,10,19,10,5,3,45
,C,.364,.091,.636,.000,7,14,4,1,1,17
,SG,.335,.359,.313,.760,24,68,62,3,12,155
,PG,.396,.296,.448,.765,10,33,85,4,21,155
,PG,.384,.286,.438,.765,9,28,75,3,14,133
,SG,.476,.400,.500,,1,5,10,1,7,22
,C,.644,,.644,.714,53,69,20,21,13,154
,PG,.444,.238,.549,.917,16,54,40,4,10,153
,SG,.403,.350,.421,.583,18,54,32,10,18,152
,SF,.460,.300,.667,.850,14,61,21,10,10,152
,SF,.434,.451,.364,.929,6,34,18,1,6,152
